County,County code,Date,Fuel type,Region,Count,County Latitude,County Longitude,Region Longitude,Region Latitude
Upplands Väsby,114,1/1/2020,NG,Stockholms län,4,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2020,Plug-in hybrids,Stockholms län,262,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,Diesel,Stockholms län,174,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,Electric hybrids,Stockholms län,119,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,Electricty,Stockholms län,224,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,Ethanol,Stockholms län,6,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,Gas,Stockholms län,329,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,NG,Stockholms län,3,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2021,Plug-in hybrids,Stockholms län,246,59.52382,17.91001,59.5,18.0
Vallentuna,115,1/1/2013,Diesel,Stockholms län,275,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2013,Electric hybrids,Stockholms län,18,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2013,Electricty,Stockholms län,0,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2013,Ethanol,Stockholms län,4,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2013,Gas,Stockholms län,302,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2013,NG,Stockholms län,1,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2013,Plug-in hybrids,Stockholms län,1,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,Diesel,Stockholms län,293,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,Electric hybrids,Stockholms län,18,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,Electricty,Stockholms län,3,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,Ethanol,Stockholms län,1,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,Gas,Stockholms län,356,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,NG,Stockholms län,9,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2014,Plug-in hybrids,Stockholms län,23,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,Diesel,Stockholms län,372,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,Electric hybrids,Stockholms län,20,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,Electricty,Stockholms län,2,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,Ethanol,Stockholms län,2,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,Gas,Stockholms län,406,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,NG,Stockholms län,4,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2015,Plug-in hybrids,Stockholms län,16,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2016,Diesel,Stockholms län,346,59.59146,18.21,59.5,18.0
