County,County code,Date,Fuel type,Region,Count,County Latitude,County Longitude,Region Longitude,Region Latitude,Region+,County population,Per1000
Norrtälje,188,2018-01-01,Electric hybrids,Stockholms län,176,59.8612,18.70573,59.5,18.0,Larger cities,61769,2.8493257135456296
Norrtälje,188,2018-01-01,Electricty,Stockholms län,21,59.8612,18.70573,59.5,18.0,Larger cities,61769,0.3399763635480581
Norrtälje,188,2018-01-01,Ethanol,Stockholms län,1,59.8612,18.70573,59.5,18.0,Larger cities,61769,0.016189350645145623
Norrtälje,188,2018-01-01,Gas,Stockholms län,1123,59.8612,18.70573,59.5,18.0,Larger cities,61769,18.180640774498535
Norrtälje,188,2018-01-01,NG,Stockholms län,7,59.8612,18.70573,59.5,18.0,Larger cities,61769,0.11332545451601936
Norrtälje,188,2018-01-01,Plug-in hybrids,Stockholms län,43,59.8612,18.70573,59.5,18.0,Larger cities,61769,0.6961420777412618
Norrtälje,188,2018-01-01,All,Stockholms län,1991,59.8612,18.70573,59.5,18.0,Larger cities,61769,32.23299713448493
Norrtälje,188,2019-01-01,Diesel,Stockholms län,513,59.8612,18.70573,59.5,18.0,Larger cities,62622,8.192009198045415
Norrtälje,188,2019-01-01,Electric hybrids,Stockholms län,258,59.8612,18.70573,59.5,18.0,Larger cities,62622,4.119957842291846
Norrtälje,188,2019-01-01,Electricty,Stockholms län,56,59.8612,18.70573,59.5,18.0,Larger cities,62622,0.8942544153811759
Norrtälje,188,2019-01-01,Ethanol,Stockholms län,6,59.8612,18.70573,59.5,18.0,Larger cities,62622,0.09581297307655456
Norrtälje,188,2019-01-01,Gas,Stockholms län,988,59.8612,18.70573,59.5,18.0,Larger cities,62622,15.777202899939319
Norrtälje,188,2019-01-01,NG,Stockholms län,3,59.8612,18.70573,59.5,18.0,Larger cities,62622,0.04790648653827728
Norrtälje,188,2019-01-01,Plug-in hybrids,Stockholms län,78,59.8612,18.70573,59.5,18.0,Larger cities,62622,1.2455686499952094
Norrtälje,188,2019-01-01,All,Stockholms län,1902,59.8612,18.70573,59.5,18.0,Larger cities,62622,30.372712465267796
Norrtälje,188,2020-01-01,Diesel,Stockholms län,364,59.8612,18.70573,59.5,18.0,Larger cities,63673,5.716708809071349
Norrtälje,188,2020-01-01,Electric hybrids,Stockholms län,197,59.8612,18.70573,59.5,18.0,Larger cities,63673,3.093933064250153
Norrtälje,188,2020-01-01,Electricty,Stockholms län,128,59.8612,18.70573,59.5,18.0,Larger cities,63673,2.010271229563551
Norrtälje,188,2020-01-01,Ethanol,Stockholms län,1,59.8612,18.70573,59.5,18.0,Larger cities,63673,0.015705243980965244
Norrtälje,188,2020-01-01,Gas,Stockholms län,692,59.8612,18.70573,59.5,18.0,Larger cities,63673,10.86802883482795
Norrtälje,188,2020-01-01,NG,Stockholms län,1,59.8612,18.70573,59.5,18.0,Larger cities,63673,0.015705243980965244
Norrtälje,188,2020-01-01,Plug-in hybrids,Stockholms län,194,59.8612,18.70573,59.5,18.0,Larger cities,63673,3.0468173323072576
Norrtälje,188,2020-01-01,All,Stockholms län,1577,59.8612,18.70573,59.5,18.0,Larger cities,63673,24.76716975798219
Norrtälje,188,2021-01-01,Diesel,Stockholms län,393,59.8612,18.70573,59.5,18.0,Larger cities,64762,6.068373428862604
Norrtälje,188,2021-01-01,Electric hybrids,Stockholms län,216,59.8612,18.70573,59.5,18.0,Larger cities,64762,3.335289212809981
Norrtälje,188,2021-01-01,Electricty,Stockholms län,265,59.8612,18.70573,59.5,18.0,Larger cities,64762,4.091905747197431
Norrtälje,188,2021-01-01,Ethanol,Stockholms län,10,59.8612,18.70573,59.5,18.0,Larger cities,64762,0.15441153763009172
Norrtälje,188,2021-01-01,Gas,Stockholms län,592,59.8612,18.70573,59.5,18.0,Larger cities,64762,9.14116302770143
Norrtälje,188,2021-01-01,NG,Stockholms län,1,59.8612,18.70573,59.5,18.0,Larger cities,64762,0.015441153763009172
Norrtälje,188,2021-01-01,Plug-in hybrids,Stockholms län,265,59.8612,18.70573,59.5,18.0,Larger cities,64762,4.091905747197431
Norrtälje,188,2021-01-01,All,Stockholms län,1742,59.8612,18.70573,59.5,18.0,Larger cities,64762,26.898489855161976
